0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-393.25937,47.211365,-14.84061,48.223183,-12.648447,12.918578,-8.7015915,8.800138,1.1500312,-1.5207188,6.319924,2.000119,4.088663,2.06388,5.431568,0.64479125,7.3787794,0.46150783,4.854096,0.077593505,2.9651299,0.19652845,-0.5456435,3.303923,-4.1638765,3.9062707,-1.4935671,1.6029996,2.704266,5.7190137,7.6613226,10.969619,12.187999,8.654342,8.84095,3.4095745,5.758017,1.3980556,3.4515548
-301.02374,55.17835,-33.070267,60.668667,-27.534761,21.09724,-17.48513,10.804612,-2.7112868,-0.7308973,4.3947935,0.7022292,4.4277177,-0.50219345,7.3658195,-2.628393,10.284792,-3.0787313,5.98566,-2.2605283,3.6138072,-0.68395424,-1.7308934,4.801508,-6.6275,6.344934,-2.9485176,4.1164308,2.3918931,7.210642,7.889643,10.810433,13.508118,9.57913,11.722928,4.040374,7.347886,-0.76325244,3.4627545
-340.74554,55.172844,-28.853863,56.79259,-20.615953,16.453169,-15.35999,11.006892,-1.2114289,1.8646812,5.3784423,0.5254678,4.9318027,0.852775,8.266366,-2.3104835,10.469073,-1.1538385,4.9512043,0.20696074,3.795626,0.71085435,-1.087421,4.7332783,-4.3643622,5.280454,-0.96060586,5.7536993,4.060987,8.118001,8.559962,9.006431,9.102636,5.6275496,8.498143,3.203908,6.9179893,-0.4479611,2.6769083
-301.35336,57.85246,-32.282894,58.40901,-21.080715,19.95134,-15.906841,10.579597,-0.81938195,1.0310192,4.3513627,0.97541535,4.0307717,0.60446155,9.05862,-2.491327,9.364328,-1.3823923,6.465778,-1.3760002,4.416792,0.7740216,-1.7350547,4.324312,-5.163868,6.3598166,-0.86338055,6.1060476,4.0917573,7.5748143,6.5039144,8.23595,8.857158,5.5976295,9.25342,2.7221704,7.077741,-0.68769616,3.1418445
-312.6922,66.86238,-37.12423,60.418377,-25.32323,18.759283,-18.3057,10.565392,-1.5307341,1.156553,2.7964394,0.9660721,3.8107889,-0.16362531,8.191338,-3.71685,10.77474,-2.9391496,6.8294244,-2.1711247,4.1744747,0.4739264,-2.078059,4.612339,-6.7163043,6.4623513,-1.8029089,6.911784,5.557304,10.431557,9.775954,9.725409,9.129833,4.723327,9.060879,2.478743,7.670273,-0.26083273,3.0789208
-304.30286,61.044037,-38.704082,61.158066,-28.886608,20.699114,-21.194275,12.473713,-3.3091733,1.2268317,3.9533942,-1.589476,4.8447967,-0.7867298,8.765971,-4.145828,10.453356,-3.2910168,5.9447346,-1.1039609,3.244507,0.31835312,-1.7923377,4.0335426,-5.276582,6.2938557,-2.155266,7.282901,5.169607,11.184829,9.819186,9.493947,8.42391,3.665313,8.35329,2.6368556,7.972725,-0.06964164,2.9797223
-299.5895,56.095467,-34.89763,60.994324,-28.118608,19.636154,-20.311846,8.516093,-1.7595092,-2.1812983,4.648757,-2.379337,3.785338,-0.95171034,6.87639,-2.8352551,9.655742,-1.8934388,3.9202425,-1.252327,3.0775607,-0.1572631,-2.6891506,3.8922358,-5.165856,6.4326024,-0.30535823,5.3927627,4.2003317,6.339696,6.483397,9.185021,10.925073,8.305739,10.840725,3.4359787,6.549499,0.19463676,3.5980058
-349.67966,47.233433,-26.035269,59.937763,-22.779274,14.633977,-18.893496,5.5429406,-1.145516,-4.834673,4.9581017,-1.5312158,2.3011563,1.287642,5.1119275,-2.1346755,9.377075,-1.092961,3.404363,-0.69386744,2.975942,-1.0484273,-2.4550014,3.8622985,-3.9963868,6.2973957,0.64077985,5.2419286,4.5351014,6.0543604,6.4193997,8.534729,9.9005575,7.44741,9.212872,3.9288907,6.6808085,0.97356933,3.7449787
-359.61603,56.473675,-29.248325,51.546932,-18.369757,16.754656,-9.952049,11.438262,0.46915126,2.8648229,4.640048,0.7188403,4.814662,1.3398666,7.484283,-1.3588678,10.548322,-0.17884447,6.1631193,0.045013,3.9556675,1.033295,-0.83632755,5.0317025,-4.321538,5.791642,-1.8285,3.0512044,0.6430364,2.752075,4.8307986,8.153296,11.881274,10.505831,12.760597,4.832856,6.2490396,-1.0983231,2.746649
-295.333,72.97956,-28.469906,48.661118,-23.670458,9.95677,-13.272145,9.676795,-2.6081405,2.851797,1.0611606,0.6418937,5.6614423,-1.4932569,4.487729,-6.4426923,4.8014245,-6.7895937,1.7411582,-3.8138368,-1.2698942,-0.9678203,-2.1056979,2.9323845,-0.35768247,9.482827,4.1833224,11.42208,3.9982839,6.8774085,4.6359873,3.7697346,6.1319394,4.258054,8.396292,1.7603785,4.450151,-1.651821,1.8153325
